"[ ""Stadion"", ""SKA"", ""we"", ""Lwowie"", "";"" ]";[3,4,4,4,0]
"[ ""Czwartą"", ""i"", ""ostatnią"", ""porażkę"", ""w"", ""sezonie"", ""suwalczanie"", ""ponieśli"", ""w"", ""Krypnie"", ""w"", ""dziewiętnastej"", ""kolejce"", "","", ""po"", ""straconej"", ""bramce"", ""w"", ""ostatniej"", ""minucie"", ""meczu"", ""."" ]";[0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0]
"[ ""Dystrykt"", ""Ambalavao"", ""("", ""Ambalavao"", "")"" ]";[5,6,0,5,0]
"[ ""Mamadou"", ""Sakho"", ""'"", ""''"", ""W"", ""''"", ""'"" ]";[1,2,0,0,0,0,0]
"[ ""'"", ""''"", ""Neukirchen"", ""/"", ""Erzgeb"", ""."", ""''"", ""'"" ]";[0,0,5,0,6,0,0,0]
"[ ""'"", ""''"", ""Nowy"", ""Targ"", ""''"", ""'"" ]";[0,0,5,6,0,0]
"[ ""Grande"", ""rivière"", ""de"", ""la"", ""Baleine"" ]";[5,6,6,6,6]
"[ ""PATRZ"", ""Partia"", ""Młodoniemiecka"", ""w"", ""Polsce"" ]";[0,3,4,4,4]
"[ ""Valon"", ""Behrami"", ""–"", ""za"", ""uderzenie"", ""rywala"", ""łokciem"", ""."" ]";[1,2,0,0,0,0,0,0]
"[ ""Liv"", ""Grete"", ""Poirée"", ""("", ""1:00,2"", ""min"", "")"" ]";[1,2,2,0,0,0,0]
"[ ""Później"", ""z"", ""tego"", ""samego"", ""powodu"", ""stał"", ""się"", ""kapelanem"", ""oraz"", ""domowym"", ""nauczycielem"", ""rodziny"", ""hrabiów"", ""Chłapowskich"", ""w"", ""Czerwonej"", ""Wsi"", ""koło"", ""Kościana"", ""Przez"", ""pewien"", ""czas"", ""przebywał"", ""także"", ""na"", ""zachodzie"", ""Europy"", ""."" ]";[0, 0, 0, 0, 0, 0, 0, 0, 0,0,0,0,0,0,0,5,6,0,5,0,0,0,0,0,0,5,6,0]
"[ ""Jego"", ""szczątki"", ""znaleziono"", ""we"", ""Francji"", ""i"", ""w"", ""Hiszpanii"", ""."" ]";[0,0,0,0,5,0,0,5,0]
"[ ""Martin"", ""Truchsess"", ""von"", ""Wetzhausen"", ""–"", ""wielki"", ""mistrz"", ""zakonu"", ""krzyżackiego"", ""."" ]";[1,2,2,2,0,0,0,3,4,0]
"[ ""CSKA"", ""Sofia"", ""("", ""Bułgaria"", "")"" ]";[3,4,0,5,0]
"[ ""'"", ""''"", ""Galatasaray"", ""SK"", ""''"", ""'"", ""''"" ]";[0,0,3,4,0,0,0]
"[ ""-"", ""japońska"", ""wokalistka"", ""i"", ""autorka"", ""tekstów"", ""piosenek"", ""."" ]";[0,0,0,0,0,0,0,0]
"[ ""'"", ""''"", ""Dynastia"", ""Zhou"", ""''"", ""'"" ]";[0,0,3,4,0,0]
"[ ""Urszula"", ""Radwańska"", ""ur"", ""."" ]";[1,2,0,0]
"[ ""W"", ""latach"", ""1815-1866"", ""państwo"", ""członkowskie"", ""Związku"", ""Niemieckiego"", "","", ""w"", ""latach"", ""1866-1871"", ""Związku"", ""Północnoniemieckiego"", "","", ""w"", ""latach"", ""1871-1918"", ""Cesarstwa"", ""Niemieckiego"", ""."" ]";[0,0,0,0,0,5,6,0,0,0,0,3,4,0,0,0,0,5,6,0]
"[ ""Otto"", ""Bahr"", ""Halvorsen"", ""("", ""1872–1923"", "")"" ]";[1,2,2,0,0,0]
"[ ""Chad"", ""le"", ""Clos"", ""Jewgienij"", ""Korotyszkin"" ]";[1,2,2,2,2]
"[ ""Bartholomew"", ""Green"", ""("", ""Essex"", "")"" ]";[5,6,0,5]
"[ ""Prawdziwą"", ""karierę"", ""zrobił"", ""jednak"", ""występując"", ""w"", ""zespole"", ""Athleticu"", ""Bilbao"", ""."" ]";[0,0,0,0,0,0,0,3,4,0]
"[ ""'"", ""''"", ""Julija"", ""Jefimowa"", ""''"", ""'"" ]";[0,0,1,2,0,0]
"[ ""W"", ""zawodach"", ""tych"", ""wyprzedził"", ""go"", ""jedynie"", ""jego"", ""rodak"", ""Raoul"", ""Lesueur"", "","", ""a"", ""trzecie"", ""miejsce"", ""wywalczył"", ""Holender"", ""Jan"", ""Pronk"", ""."" ]";[0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,2,0]
"[ ""Przegrała"", ""w"", ""finale"", ""z"", ""Conchitą"", ""Martínez"", ""."" ]";[0,0,0,0,1,2,0]
"[ ""Dłuższą"", ""wersję"", ""TrailBlazera"", ""wytwarzano"", ""w"", ""fabryce"", ""General"", ""Motors"", ""w"", ""Oklahoma"", ""City"", ""w"", ""stanie"", ""Oklahoma"", ""."" ]";[0,0,0,0,0,0,3,4,0,5,6,0,0,5,0]
"[ ""Câu"", ""Lạc"", ""Bộ"", ""Quân"", ""Đội"" ]";[3,4,4,4,4]
"[ ""Goiás"", ""Goiânia"", ""-"", ""Internacional"", ""Limeira"", ""3:0Guga"", ""("", ""2"", "")"", "","", ""Niltinho"" ]";[5,6,0,3,4,0,0,0,0,0,1]
"[ ""680"", ""km"", ""–"", ""Gorodiszcze"" ]";[0,0,0,5]
"[ ""``"", ""Paris"", ""Is"", ""Burning"", ""''"", "","", ""2008-07-06"" ]";[0,0,0,0,0,0,0]
"[ ""Niespodziewanie"", ""w"", ""marcu"", ""rozegrały"", ""ostatni"", ""wspólny"", ""mecz"", "","", ""przegrywając"", ""w"", ""pierwszej"", ""rundzie"", ""w"", ""Miami"", ""z"", ""Natalie"", ""Grandin"", ""i"", ""Abigail"", ""Spears"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,1,2,0]
"[ ""Charlotta"", ""Mecklenburg-Strelitz"", ""("", ""1774-1818"", "")"" ]";[1,2,0,0,0]
"[ ""Wspólna"", ""polityka"", ""zagraniczna"", ""i"", ""bezpieczeństwa"" ]";[3,4,4,4,4]
"[ ""Usher"", ""("", ""feat"", ""."" ]";[1,0,0,0]
"[ ""udał"", ""się"", ""na"", ""dobrowolne"", ""wygnanie"", ""do"", ""Ardei"", ""."" ]";[0,0,0,0,0,0,5,0]
"[ ""==="", ""Historia"", ""nr"", ""8"", ""("", ""Izrael"", ""''"", "")"", ""==="" ]";[0,0,0,0,0,5,0,0,0]
"[ ""Przebywał"", ""w"", ""więzieniach"", ""w"", ""Stanisławowie"", ""i"", ""Chersoniu"", ""."" ]";[0,0,0,0,5,0,5,0]
"[ ""Później"", ""grał"", ""Cambuur"", ""Leeuwarden"", "","", ""AZ"", ""Alkmaar"", "","", ""FC"", ""Utrecht"", ""oraz"", ""w"", ""Red"", ""Bull"", ""Salzburg"", ""."" ]";[0,0,3,4,0,3,4,0,3,4,0,0,3,4,4,0]
"[ ""Plan"", ""ten"", ""zatwierdził"", ""car"", ""Mikołaj"", ""I"", "","", ""jednak"", ""nie"", ""był"", ""on"", ""możliwy"", ""do"", ""realizacji"", ""z"", ""braku"", ""pieniędzy"", ""."" ]";[0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0]
"[ ""Placówka"", ""muzealna"", ""jest"", ""obecnie"", ""jedną"", ""z"", ""największych"", ""tego"", ""typu"", ""na"", ""terenie"", ""Hiszpanii"", ""."" ]";[0,0,0,0,0,0,0,0,0,0,0]
"[ ""PATRZ"", ""Wilki"", ""("", ""Litwa"", "")"" ]";[0,0,0,5,0]
"[ ""Wilhelm"", ""Schraml"", ""-"", ""duchowny"" ]";[1,2,0,0]
