Text;Annotations;ner_tags
"[ ""Stadion"", ""SKA"", ""we"", ""Lwowie"", "";"" ]";[3,4,4,4,0];[ 3, 4, 4, 4, 0 ]
"[ ""Czwartą"", ""i"", ""ostatnią"", ""porażkę"", ""w"", ""sezonie"", ""suwalczanie"", ""ponieśli"", ""w"", ""Krypnie"", ""w"", ""dziewiętnastej"", ""kolejce"", "","", ""po"", ""straconej"", ""bramce"", ""w"", ""ostatniej"", ""minucie"", ""meczu"", ""."" ]";[0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 ]
"[ ""Dystrykt"", ""Ambalavao"", ""("", ""Ambalavao"", "")"" ]";[5,6,0,5,0];[ 5, 6, 0, 5, 0 ]
"[ ""Mamadou"", ""Sakho"", ""'"", ""''"", ""W"", ""''"", ""'"" ]";[1,2,0,0,0,0,0];[ 1, 2, 0, 0, 0, 0, 0 ]
"[ ""'"", ""''"", ""Neukirchen"", ""/"", ""Erzgeb"", ""."", ""''"", ""'"" ]";[0,0,5,0,6,0,0,0];[ 0, 0, 5, 6, 6, 6, 0, 0 ]
"[ ""'"", ""''"", ""Nowy"", ""Targ"", ""''"", ""'"" ]";[0,0,5,6,0,0];[ 0, 0, 5, 6, 0, 0 ]
"[ ""Grande"", ""rivière"", ""de"", ""la"", ""Baleine"" ]";[5,6,6,6,6];[ 5, 6, 6, 6, 6 ]
"[ ""PATRZ"", ""Partia"", ""Młodoniemiecka"", ""w"", ""Polsce"" ]";[0,3,4,4,4];[ 0, 3, 4, 4, 4 ]
"[ ""Valon"", ""Behrami"", ""–"", ""za"", ""uderzenie"", ""rywala"", ""łokciem"", ""."" ]";[1,2,0,0,0,0,0,0];[ 1, 2, 0, 0, 0, 0, 0, 0 ]
"[ ""Liv"", ""Grete"", ""Poirée"", ""("", ""1:00,2"", ""min"", "")"" ]";[1,2,2,0,0,0,0];[ 1, 2, 2, 0, 0, 0, 0 ]
"[ ""Później"", ""z"", ""tego"", ""samego"", ""powodu"", ""stał"", ""się"", ""kapelanem"", ""oraz"", ""domowym"", ""nauczycielem"", ""rodziny"", ""hrabiów"", ""Chłapowskich"", ""w"", ""Czerwonej"", ""Wsi"", ""koło"", ""Kościana"", ""Przez"", ""pewien"", ""czas"", ""przebywał"", ""także"", ""na"", ""zachodzie"", ""Europy"", ""."" ]";[0, 0, 0, 0, 0, 0, 0, 0, 0,0,0,0,0,0,0,5,6,0,5,0,0,0,0,0,0,5,6,0];[ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 0 ]
"[ ""Jego"", ""szczątki"", ""znaleziono"", ""we"", ""Francji"", ""i"", ""w"", ""Hiszpanii"", ""."" ]";[0,0,0,0,5,0,0,5,0];[ 0, 0, 0, 0, 5, 0, 0, 5, 0 ]
"[ ""Martin"", ""Truchsess"", ""von"", ""Wetzhausen"", ""–"", ""wielki"", ""mistrz"", ""zakonu"", ""krzyżackiego"", ""."" ]";[1,2,2,2,0,0,0,3,4,0];[ 1, 2, 2, 2, 0, 3, 4, 4, 4, 0 ]
"[ ""CSKA"", ""Sofia"", ""("", ""Bułgaria"", "")"" ]";[3,4,0,5,0];[ 3, 4, 0, 5, 0 ]
"[ ""'"", ""''"", ""Galatasaray"", ""SK"", ""''"", ""'"", ""''"" ]";[0,0,3,4,0,0,0];[ 0, 0, 3, 4, 0, 0, 0 ]
"[ ""-"", ""japońska"", ""wokalistka"", ""i"", ""autorka"", ""tekstów"", ""piosenek"", ""."" ]";[0,0,0,0,0,0,0,0];[ 0, 5, 0, 0, 0, 0, 0, 0 ]
"[ ""'"", ""''"", ""Dynastia"", ""Zhou"", ""''"", ""'"" ]";[0,0,3,4,0,0];[ 0, 0, 5, 6, 0, 0 ]
"[ ""Urszula"", ""Radwańska"", ""ur"", ""."" ]";[1,2,0,0];[ 1, 2, 0, 0 ]
"[ ""W"", ""latach"", ""1815-1866"", ""państwo"", ""członkowskie"", ""Związku"", ""Niemieckiego"", "","", ""w"", ""latach"", ""1866-1871"", ""Związku"", ""Północnoniemieckiego"", "","", ""w"", ""latach"", ""1871-1918"", ""Cesarstwa"", ""Niemieckiego"", ""."" ]";[0,0,0,0,0,5,6,0,0,0,0,3,4,0,0,0,0,5,6,0];[ 0, 0, 0, 0, 0, 5, 6, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 5, 6, 0 ]
"[ ""Otto"", ""Bahr"", ""Halvorsen"", ""("", ""1872–1923"", "")"" ]";[1,2,2,0,0,0];[ 1, 2, 2, 0, 0, 0 ]
