Labels;Sentences
[0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0];"[ ""Shortly"", ""afterward"", "","", ""an"", ""encouraging"", ""response"", ""influenced"", ""him"", ""to"", ""go"", ""to"", ""India"", "";"", ""he"", ""arrived"", ""at"", ""Adyar"", ""in"", ""1884"", ""."" ]"
[0,1,2,0,1,2,0,0,0,0,0,0,0,0];"[ "":"", ""Kanye"", ""West"", ""featuring"", ""Jamie"", ""Foxx"", ""—"", ""``"", ""Gold"", ""Digger"", ""''"", ""("", ""2005"", "")"" ]"
[3,4,4];"[ ""Blacktown"", ""railway"", ""station"" ]"
[0,0,0,0,0,0,1,0,0,0];"[ ""''"", ""Mycalesis"", ""perseus"", ""lalassis"", ""''"", ""("", ""Hewitson"", "","", ""1864"", "")"" ]"
[1,2,2,0,0,0,0];"[ ""Jonny"", ""Lee"", ""Miller"", ""-"", ""Eli"", ""Stone"", ""''"" ]"
[0,0,0,1];"[ ""Tambourissa"", ""cocottensis"", ""''"", ""Lorence"" ]"
[0,0,0,0,0,0,5,6];"[ ""Admission"", ""to"", ""the"", ""bar"", ""in"", ""the"", ""United"", ""States"" ]"
[1,2,2,2,0];"[ ""Willy"", ""Unger"", ""of"", ""11"", ""."" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0];"[ ""Much"", ""construction"", ""was"", ""undertaken"", ""during"", ""this"", ""period"", "","", ""such"", ""as"", ""the"", ""building"", ""of"", ""Palermo"", ""Cathedral"", ""."" ]"
[0,0,0,0,0];"[ ""List"", ""of"", ""The"", ""O.C."", ""characters"" ]"
[3,4,4,0,5,0,5];"[ ""Cardiff"", ""Royal"", ""Infirmary"", "","", ""Roath"", "","", ""Cardiff"" ]"
[ 1, 2, 0, 0, 0, 0, 0, 0, 0 ];"[ ""Roger"", ""Houdet"", ""9"", ""June"", ""1958"", ""–"", ""27"", ""May"", ""1959"" ]"
[0,0,0,0,0,0,0,0];"[ ""List"", ""of"", ""Oz"", ""("", ""TV"", ""series"", "")"", ""characters"" ]"
[0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0];"[ "":"", ""''"", ""Jack"", ""and"", ""Diane"", ""''"", ""by"", ""John"", ""Mellencamp"", ""-"", ""''"", ""("", ""Top"", ""11"", "")"", ""''"" ]"
[0,0,5,0,5,6];"[ ""List"", ""of"", ""Antarctic"", ""and"", ""sub-Antarctic"", ""islands"" ]"
[ 3, 4, 4, 4 ];"[ ""Yukon"", ""New"", ""Democratic"", ""Party"" ]"
